latitude,longitude
41.020548, -117.680153
41.009611, -117.696132
41.008490, -117.697672
41.008218, -117.697565
41.007712, -117.697461
41.003684, -117.703501
40.997135, -117.712018
40.995372, -117.714554
40.994319, -117.716003
40.993184, -117.717499
40.993027, -117.717689
40.992397, -117.718448
40.989569, -117.720914
40.989490, -117.720983
40.988825, -117.721570
40.987156, -117.722914
40.986936, -117.723134
40.986492, -117.723578
40.983814, -117.725659
40.983608, -117.725991
40.982304, -117.726957
40.981856, -117.727130
40.981552, -117.727247
40.980754, -117.727555
40.980011, -117.727842
40.977816, -117.728689
40.977589, -117.729912
40.976628, -117.731150
40.975506, -117.732417
40.974797, -117.733443
40.974247, -117.734016
40.973515, -117.734861
40.972874, -117.735856
40.972073, -117.736701
40.971386, -117.737576
40.970630, -117.738481
40.969921, -117.739295
40.969188, -117.740261
40.968455, -117.741075
40.965709, -117.743095
40.963741, -117.744059
40.959529, -117.747346
40.959265, -117.747565
40.958800, -117.747951
40.955933, -117.749646
40.955639, -117.749818
40.955387, -117.750300
40.954906, -117.750562
40.954427, -117.751688
40.953672, -117.751869
40.951177, -117.754189
40.950539, -117.754890
40.948844, -117.757039
40.945098, -117.765426
40.933072, -117.795634
40.932820, -117.796449
40.931859, -117.798259
40.931219, -117.799375
40.930601, -117.800552
40.929503, -117.802604
40.929366, -117.803086
40.924378, -117.817296
40.898719, -117.887026
40.898376, -117.887448
40.897027, -117.890736
40.895450, -117.894296
40.890109, -117.906390
40.882618, -117.923351
40.868961, -117.942998
40.857913, -117.952383
40.857815, -117.952465
40.844367, -117.963892
40.836313, -117.970734
40.824158, -117.979121
40.817431, -117.983024
40.814654, -117.984635
40.810065, -117.987297
40.791538, -117.998046
40.789616, -117.998917
40.788014, -118.000029
40.787536, -118.000322
40.784103, -118.002307
40.783943, -118.002307
40.772710, -118.008786
40.768728, -118.011083
40.766509, -118.012363
40.750519, -118.021585
40.747910, -118.023160
40.736015, -118.029995
40.728222, -118.034378
40.727825, -118.034601
40.715412, -118.041819
40.708631, -118.045763
40.707367, -118.046482
40.703758, -118.048440
40.701150, -118.050064
40.699548, -118.050906
40.688897, -118.057215
40.680352, -118.066627
40.680260, -118.067048
40.679231, -118.069243
40.678498, -118.071016
40.677858, -118.072819
40.675713, -118.080490
40.658337, -118.142475
40.657396, -118.145815
40.656459, -118.149157
40.651796, -118.165795
40.640097, -118.194971
40.635295, -118.205862
40.629257, -118.215606
40.608970, -118.242036
40.597253, -118.253061
40.594829, -118.254624
40.592473, -118.256007
40.581609, -118.262701
40.573238, -118.267859
40.567778, -118.271223
40.563973, -118.273567
40.558237, -118.276047
40.549872, -118.277119
40.545932, -118.277506
40.538769, -118.278208
40.536384, -118.278442
40.524125, -118.279645
40.515499, -118.280491
40.515197, -118.280521
40.510788, -118.280953
40.506490, -118.281375
40.501585, -118.281777
40.489312, -118.282676
40.484037, -118.283226
40.470962, -118.284420
40.467439, -118.284781
40.463160, -118.285202
40.452155, -118.286842
40.450935, -118.287131
40.449318, -118.287514
40.435049, -118.290793
40.430844, -118.291737
40.429390, -118.292072
40.416282, -118.295009
40.407770, -118.297017
40.391645, -118.300672
40.371662, -118.305134
40.347980, -118.310698
40.347180, -118.310877
40.346565, -118.311195
40.339466, -118.315961
40.337731, -118.317306
40.334688, -118.319697
40.333589, -118.320624
40.332880, -118.321192
40.332193, -118.321700
40.331706, -118.322087
40.325560, -118.326982
40.308907, -118.340240
40.295600, -118.350897
40.294520, -118.351789
40.294179, -118.352070
40.281000, -118.360469
40.274912, -118.364228
40.271250, -118.366376
40.270037, -118.367301
40.269793, -118.367569
40.267564, -118.371839
40.267297, -118.373324
40.265918, -118.378416
40.252125, -118.388282
40.247775, -118.392290
40.245947, -118.393903
40.242420, -118.397250
40.240091, -118.399460
40.230965, -118.411853
40.227098, -118.422502
40.224606, -118.428541
40.224394, -118.428946
40.223480, -118.430691
40.221535, -118.433876
40.218292, -118.438033
40.217674, -118.438719
40.216530, -118.439824
40.212137, -118.444419
40.209945, -118.446564
40.209574, -118.446926
40.206027, -118.450685
40.205056, -118.451715
40.204539, -118.452266
40.201976, -118.454772
40.200054, -118.456890
40.197949, -118.459007
40.195756, -118.461171
40.189733, -118.467000
40.189194, -118.467064
40.187857, -118.467834
40.186585, -118.468777
40.186413, -118.468904
40.185974, -118.469229
40.184515, -118.471114
40.184057, -118.471830
40.183858, -118.471982
40.182844, -118.472754
40.182020, -118.473350
40.181105, -118.474036
40.180213, -118.474632
40.179206, -118.475377
40.178313, -118.476003
40.177398, -118.476688
40.176551, -118.477314
40.175635, -118.477970
40.174789, -118.478566
40.173988, -118.478864
40.173759, -118.478893
40.173506, -118.479013
40.173063, -118.479223
40.172837, -118.479331
40.172784, -118.479356
40.172569, -118.479459
40.170776, -118.480809
40.170578, -118.480949
40.168992, -118.483203
40.165503, -118.486504
40.163574, -118.487744
40.162590, -118.488220
40.158355, -118.491229
40.141091, -118.503937
40.140649, -118.504424
40.139267, -118.506229
40.131430, -118.517935
40.106568, -118.561927
40.088455, -118.603846
40.084236, -118.613550
40.076456, -118.631200
40.070817, -118.640327
40.064845, -118.647839
40.063953, -118.648881
40.061574, -118.651205
40.059538, -118.653142
40.057343, -118.654990
40.037085, -118.667055
40.024123, -118.674453
40.018474, -118.676075
39.999856, -118.679554
39.998499, -118.679685
39.985052, -118.684997
39.976604, -118.691798
39.973393, -118.694410
39.965356, -118.700773
39.955359, -118.715596
39.942672, -118.747686
39.942287, -118.748647
39.941915, -118.749579
